date,time,article,old_price,new_price,price
2026-02-06,15:06:18,GOLD 22 KT 1G,13965.0,14090.0,
2026-02-06,15:06:18,GOLD 22 KT 1G,,,14090.0
2026-02-06,15:06:18,GOLD 24 KT 1G,15246.0,15382.0,
2026-02-06,15:06:18,GOLD 24 KT 1G,,,15382.0
2026-02-06,11:18:19,GOLD 14 KT 1G,9014.0,8893.0,
2026-02-06,11:18:19,GOLD 14 KT 1G,,,8893.0
2026-02-06,11:18:19,GOLD 18 KT 1G,11590.0,11434.0,
2026-02-06,11:18:19,GOLD 18 KT 1G,,,11434.0
2026-02-06,11:18:19,GOLD 22 KT 1G,14155.0,13965.0,
2026-02-06,11:18:19,GOLD 22 KT 1G,,,13965.0
2026-02-06,11:18:19,GOLD 24 KT 1G,15453.0,15246.0,
2026-02-06,11:18:19,GOLD 24 KT 1G,,,15246.0
2026-02-06,11:18:19,SILVER 1G,300.0,280.0,
2026-02-06,11:18:19,SILVER 1G,,,280.0
2026-02-06,00:00:00,GOLD 14 KT 1G,,,9014.0
2026-02-06,00:00:00,GOLD 18 KT 1G,,,11590.0
2026-02-06,00:00:00,GOLD 22 KT 1G,,,14155.0
2026-02-06,00:00:00,GOLD 24 KT 1G,,,15453.0
2026-02-06,00:00:00,SILVER 1G,,,300.0
2026-02-05,11:05:47,GOLD 14 KT 1G,,,9014.0
2026-02-05,11:05:47,GOLD 18 KT 1G,,,11590.0
2026-02-05,11:05:47,GOLD 22 KT 1G,,,14155.0
2026-02-05,11:05:47,GOLD 24 KT 1G,,,15453.0
2026-02-05,11:05:47,SILVER 1G,,,300.0
